doc.id,text,date,section.name,news.desk,byline,headline.main,headline.print,material,,,
1888,"As Fiji battles one of the fastest-growing coronavirus outbreaks in the world, the Pacific Island’s Olympic team departed on Thursday for Tokyo on a freight plane.",7/8/2021,World,Foreign,"By Natasha Frost, Monika Pronczuk, Raphael Minder and Daniel E. Slotnik","As a Covid outbreak worsens, Fiji’s Olympic athletes fly to Japan on a plane full of fish.",NA,News,,,
1889,"Though Americans have been able to travel to the E.U. since June, residents of Europe’s Schengen area, Ireland and the U.K. have been essentially barred from traveling to the U.S. since March 2020. The C.D.C. has also halted travel from some non-European countries: China, Iran, Brazil, South Africa and India.",7/9/2021,Briefing,NYTNow,By Natasha Frost,Your Friday Briefing,NA,briefing,,,
1890,"The U.S. economy has been less dynamic in the 21st century, by many measures, than it was in the late 20th century.",7/9/2021,Briefing,NYTNow,By David Leonhardt,Biden’s New Push,NA,briefing,,,
1891,"An article on Thursday about an attack in Afghanistan by the Taliban misstated the day on which the Taliban broke into a jail in Badghis Province. It was Wednesday, as noted elsewhere in the article, not Tuesday.",7/9/2021,Corrections,Corrections,NA,"Corrections: July 9, 2021",Corrections,Correction,,,
1892,"The message popped up on my cellphone last week, just as I was about to drive my daughter to a play date: “The situation here in Afghanistan is getting worse day by day,” it read. “The Taliban know that i was cooperating with you people, so if its possible to talk with your respected organization to take me to USA.”",7/9/2021,Opinion,Editorial,By Farah Stockman,The People We Leave Behind in Afghanistan,Love and War in Afghanistan,Op-Ed,,,
1893,To the Editor:,7/9/2021,Opinion,Letters,NA,The F.D.A. on the Vaccine Reviews: ‘We Want to Assure the Public’,NA,Letter,,,
1894,"We had a shorter holiday week on The Daily, but we covered a lot of ground, traveling from Afghanistan to Haiti. Along the way, many of you wrote in to share your thoughts and feelings about our episode on critical race theory.",7/9/2021,Podcasts,Podcasts,By Lauren Jackson,What Is Critical Race Theory?,A ‘Daily’ Follow-Up to a Tricky Topic,News,,,
1895,"Update, July 27: Winners from this week have been announced!",7/9/2021,The Learning Network,Learning,By The Learning Network,Summer Reading Contest Week 5: What Got Your Attention in The Times This Week?,NA,News,,,
1896,"WASHINGTON — The Army general who has led war crimes prosecutions at Guantánamo Bay, Cuba, for a decade is retiring and handing off the trial of the five men accused of conspiring in the attacks of Sept. 11, 2001 to an as-yet unchosen successor.",7/9/2021,U.S.,Washington,By Carol Rosenberg,Chief Guantánamo Prosecutor Retiring Before Sept. 11 Trial Begins,"In Surprise Move, Chief Guantánamo Prosecutor Is Retiring Before 9/11 Trial",News,,,
1897,"KABUL, Afghanistan — Taliban forces on Friday penetrated Kandahar, Afghanistan’s second-largest city, in a new phase of a sweeping insurgent offensive that has captured territory across the country since May 1, when U.S. forces began withdrawing.",7/9/2021,World,Foreign,By Adam Nossiter,Taliban Enter Kandahar City and Seize Border Posts,"Taliban Enter Kandahar, Second-Largest Afghan City",News,,,
1898,"WASHINGTON — Haiti’s request for U.S. troops to help stabilize the country following the assassination of its president presents a difficult choice for President Biden: send forces to aid a neighbor even as he is trying to pare down America’s military footprint overseas, or refrain and risk allowing the chaos unfolding there to escalate into a refugee crisis.",7/10/2021,U.S.,Washington,"By Michael Crowley, Michael D. Shear and Eric Schmitt",Biden Administration Shows Little Appetite for Haiti’s Troop Request,U.S. Is Reluctant to Send Soldiers to Haiti Conflict,News,,,
1899,"President Biden warned President Vladimir V. Putin of Russia on Friday that time was running out for him to rein in the ransomware groups striking the United States, telegraphing that this could be Mr. Putin’s final chance to take action on Russia’s harboring of cybercriminals before the United States moved to dismantle the threat.",7/10/2021,U.S.,Washington,By David E. Sanger and Nicole Perlroth,"Biden Warns Putin to Act Against Ransomware Groups, or U.S. Will Strike Back",Biden Cautions Putin to Control Cybercriminals,News,,,
1900,"MONTREAL — He is one of the few lawmakers left in Haiti, a close ally of the assassinated president who has kept his seat while the country’s democratic institutions have been whittled away.",7/10/2021,World,Foreign,By Dan Bilefsky and Catherine Porter,Who Paid for That Mansion? A Senator or the Haitian People?,Opulent Mansion in Canada Ignites Rage as Haiti Unravels,News,,,
1901,"Since the assassination of President Jovenel Moïse last week, political chaos has gripped Haiti. On Sunday, the country hurtled toward a constitutional crisis, as its top leaders both jockeyed for control.",7/11/2021,Briefing,NYTNow,By Amelia Nierenberg,Your Monday Briefing,NA,briefing,,,
1902,"Sunday’s final at London’s Wembley Stadium is being broadcast in the United States by ESPN and Univision, and via their ESPN+ and TUDN streaming platforms. But, of course, many Times readers are not in the United States.",7/11/2021,Sports,Sports,NA,"The teams have arrived, so find a TV. Here’s how to watch England-Italy.",NA,News,,,
1903,"CRYSTAL LAKE, Ill. — Even President Biden thought he had been ponderous.",7/11/2021,U.S.,Washington,By Michael D. Shear,Voters Chose Boring Over Bombast. They Got Biden’s Penchant for Pontificating.,"Lost in Rhetorical Weeds, Biden Struggles to Inspire",News,,,
1904,"PARIS — Battered by gang violence and corruption, its Parliament near vacant, its judiciary in tatters, its Constitution subject to dispute, its poverty crushing and its history a chronicle of unrest, Haiti was in bad shape even before its president was assassinated and rival factions laid claim to power.",7/11/2021,World,Foreign,By Roger Cohen,Dueling Claims to Power. Broken Institutions. How Does Haiti Fix This?,Institutional Weakness Compounds Predicament Of Haiti’s Power Struggle,News,,,
1905,The Haitian authorities said Sunday they were holding a Florida-based doctor they believed had aspirations of seizing power in his native country in the assassination of President Jovenel Moïse.,7/11/2021,World,Foreign,"By Catherine Porter, Eric Nagourney and Julian Barnes",Third Man With U.S. Ties Has Been Arrested in Haiti Assassination,Haiti Arrests 3rd Man With U.S. Ties in Assassination,News,,,
1906,"The 9/11 Memorial & Museum in Lower Manhattan has dropped plans for special exhibitions commemorating the 20th anniversary of what was perhaps the most traumatic day in modern American history, museum officials said.",7/12/2021,Arts,Culture,By Zachary Small,9/11 Museum’s 20th-Anniversary Exhibitions Become Victims of Cuts,9/11 Museum Vexed by Cuts and Feuds,News,,,
1907,"Haiti is feverishly searching for answers after the assassination of President Jovenel Moïse last week, while the public remains skeptical of official narratives. Here are live updates.",7/12/2021,Briefing,NYTNow,By Amelia Nierenberg,Your Monday Briefing,NA,briefing,,,
1908,"Call it journalistic pessimism. This spring, even before President Biden announced the withdrawal of all U.S. forces from Afghanistan, I began to think about how Kabul might compare with Saigon just before it fell in 1975. Were there clear differences? Important similarities? Maybe even lessons to be learned?",7/12/2021,Times Insider,Foreign,By Dave Philipps,A Mission to Get a Forgotten Military Perspective,Echoes of Vietnam in Afghanistan,News,,,
1909,"Gen. Austin S. Miller stepped down as commander of American-led forces in Afghanistan, as the United States prepares to end the 20-year-old war and as the Taliban has taken swaths of the country.",7/12/2021,U.S.,,By The Associated Press,Top U.S. General in Afghanistan Hands Over Command,NA,Video,,,
1910,"WASHINGTON — A Taliban rampage across Afghanistan is stoking fears that extremists could overrun the capital, Kabul, and force the evacuation of the U.S. Embassy. But inside the building, American diplomats emerging from a monthlong coronavirus lockdown are returning to business as usual.",7/12/2021,U.S.,Washington,By Lara Jakes,"It’s Situation Normal for U.S. Diplomats in Kabul, Despite Taliban Gains",U.S. Embassy Operations Proceed in Afghan Capital,News,,,
1911,"KABUL, Afghanistan — The top American general in Afghanistan stepped down on Monday, a symbolic moment as the United States nears the end of its 20-year-old war and Taliban fighters sweep across the country.",7/12/2021,U.S.,Washington,By Thomas Gibbons-Neff,A top U.S. general in Afghanistan steps down as the war ends and the Taliban sweep across much of the country.,NA,News,,,
1912,"KABUL, Afghanistan — The top American general in Afghanistan stepped down on Monday, a symbolic moment as the United States nears the end of its 20-year-old war and Taliban fighters sweep across the country.",7/12/2021,World,Foreign,By Thomas Gibbons-Neff,Top U.S. General Steps Down in Afghanistan,Top U.S. General Leaves as Afghan Withdrawal Continues,News,,,
1913,"Most of the victims were patients, and the blaze was so intense that at least 22 bodies could not be immediately identified. An electrical short in a ventilator caused oxygen canisters to explode late on Monday, a police spokesman said.",7/13/2021,Briefing,NYTNow,By Amelia Nierenberg,Your Wednesday Briefing,NA,briefing,,,
1914,“Our job is now just not to forget.”,7/13/2021,Today’s Paper,Summary,NA,Quotation of the Day: Top U.S. General Leaves as Afghan Withdrawal Continues,Quote of the Day,Quote,,,
1915,"Barely a week after withdrawing nearly all U.S. forces from Afghanistan, President Biden faces, in Haiti, a strikingly similar dilemma, now much closer to home.",7/13/2021,World,Foreign,By Max Fisher,"Weighing Haiti Intervention, U.S. Again Faces a Torturous Dilemma","Weighing Haiti Intervention, U.S. Faces an All-Too-Familiar Dilemma",News,,,
1916,"In what might be a seminal moment in the global effort to fight climate change, the bloc laid out an ambitious blueprint. The most radical, and possibly contentious, proposal would impose tariffs on some imports from countries with less strict rules on protecting the environment. It would also mean the end of sales of new gas- and diesel-powered cars in just 14 years.",7/14/2021,Briefing,NYTNow,By Amelia Nierenberg,Your Thursday Briefing,NA,briefing,,,
1917,"Like most Americans, Evan Hafer experienced the Jan. 6 insurrection at the United States Capitol from a distance, watching it unfold on his television and his iPhone from Salt Lake City. What he saw did not surprise him. Hafer, who is 44, voted for Donald Trump. He was even open at first to the possibility that Trump’s claims of sweeping voter fraud were legitimate, until William Barr, Trump’s attorney general, declared in early December that he could find no evidence that such fraud occurred. Still, Hafer told me recently, “you’re told by the commander in chief for months that the election was stolen, so you’re going to have a group of people that are really pissed.” While he disapproved of those who stormed the Capitol, he didn’t believe that they or their actions constituted a real threat to the republic. “I’ve seen an insurrection,” said Hafer, a former Green Beret and C.I.A. contractor who served in Afghanistan and Iraq. “I know what that looks like.”",7/14/2021,Magazine,Magazine,By Jason Zengerle,Can the Black Rifle Coffee Company Become the Starbucks of the Right?,Selling the Culture Wars,News,,,
1918,"Nearly a year ago, Playwrights Horizons’ new artistic director Adam Greenfield unveiled a four-play season for 2021, with all the titles directed by women and written by nonwhite authors.",7/14/2021,Theater,Culture,By Sarah Bahr,New Playwrights Horizons Season Includes Will Arbery World Premiere,Playwrights Horizons’ New Season,News,,,
1919,"John Kirby, the Pentagon press secretary, said Wednesday that the United States was prepared to begin evacuation flights for Afghan interpreters and translators who helped the U.S. military effort in the nearly 20-year war.",7/14/2021,U.S.,,By The Associated Press,"U.S. Will Begin Evacuating Afghans, Pentagon Says",NA,Video,,,
1920,WASHINGTON — The Biden administration said on Wednesday that it would begin evacuating Afghans this month who helped the United States during the 20-year war and who could face revenge attacks by the Taliban.,7/14/2021,U.S.,Washington,"By Glenn Thrush, Adam Nossiter, Eric Schmitt and Katie Rogers",Evacuations for Afghans Who Helped U.S. Troops Will Begin This Month,Evacuation of Afghan Allies Is Set to Begin As U.S. Withdrawal Enters Its Final Phases,News,,,
1921,"KUNDUZ, Afghanistan — The Afghan way of war in 2021 comes down to this: a watermelon vendor on a sweltering city street, a government Humvee at the front line just 30 feet away, and Taliban fighters lurking unseen on the other side of the road.",7/14/2021,World,Foreign,By Adam Nossiter and Najim Rahim,Selling Fruit Where the Taliban Stalk the Streets,Afghan City Feels Taliban Tighten Vise,News,,,
1922,"The military has ordered that the lifesaving gas be withheld from private clinics and has even stopped charities from giving it away, medical workers say.",7/15/2021,Briefing,NYTNow,By Amelia Nierenberg,Your Friday Briefing,NA,briefing,,,
1923,"Europe plans to move away from fossil fuels, with an ambitious fleet of new policies that would include eliminating sales of new gas- and diesel-powered cars, raising the price of using fossil fuels and imposing tariffs on countries with looser climate rules — potentially setting off trade disputes with the U.S. and China.",7/15/2021,Briefing,NYTNow,By Natasha Frost,Your Thursday Briefing,NA,briefing,,,
1924,There are two basic questions to ask about any variant of the Covid-19 virus: Is it more contagious than earlier versions of the virus? And is it more severe?,7/15/2021,Briefing,NYTNow,By David Leonhardt,Hopeful News on Delta,NA,briefing,,,
1925,"OTTAWA — Canada’s former top military officer, under investigation for sexual misconduct, was charged with obstruction of justice on Thursday, the latest in a series of events that have highlighted widespread harassment and conflicts of interest in the country’s military, much of it involving the force’s elite.",7/15/2021,International Home,Foreign,By Ian Austen,Ex-Military Commander in Canada Is Charged With Obstruction of Justice,Former Military Commander in Canada  Is Charged With Obstruction of Justice,News,,,
1926,"For most of the past century, human dignity had a friend — the United States of America. We are a deeply flawed and error-prone nation, like any other, but America helped defeat fascism and communism and helped set the context for European peace, Asian prosperity and the spread of democracy.",7/15/2021,Opinion,OpEd,By David Brooks,The American Identity Crisis,The American Identity Crisis,Op-Ed,,,
1927,After an almost two-year wait — delayed partly because of the pandemic — the second season of “Modern Love” is now available on Prime Video.,7/15/2021,Style,Styles,By Daniel Jones,‘Modern Love’ Season 2 Is Here. So Where Are the Original Essayists Now?,NA,News,,,
1928,"The Chinese government rarely passes up a chance to accuse the United States of military adventurism and hegemony. In the case of Afghanistan, though, it has changed its tone, warning that Washington now bears the responsibility for the hasty end to its two-decade war there.",7/15/2021,World,Foreign,By Steven Lee Myers,China Criticized the Afghan War. Now It Worries About the Withdrawal.,China Is Wary Of U.S. Pullout In Afghanistan,News,,,
1929,Did you follow the news this week? Take our quiz to see how well you stack up with other Times readers.,7/16/2021,Briefing,Briefing,NA,"The New York Times News Quiz, July 16, 2021",NA,Interactive Feature,,,
1930,"Flooding caused by violent storms yesterday in Western Europe left at least 69 dead, including two firefighters who died during rescue attempts, in Germany and Belgium. At least 1,300 people remained missing as of last night, according to the German authorities.",7/16/2021,Briefing,NYTNow,By Natasha Frost,Your Friday Briefing,NA,briefing,,,
1931,"President Biden and his fellow Democrats face many challenges in trying to pass two ambitious bills — one on infrastructure, the other on social and environmental programs — this summer.",7/16/2021,Briefing,NYTNow,By David Leonhardt,Where Democrats Agree,NA,briefing,,,
1932,"For action fans seeking out new movies on streaming, there are plenty of car chases, explosions and fist fights to sift through. We help by providing some streaming highlights.",7/16/2021,Movies,Culture,By Robert Daniels,Stream These Five Action Films Now,"Alien Invaders, Sharks and Mob Kingpins",News,,,
1933,Welcome to Week Six of our 12th Annual Summer Reading Contest.,7/16/2021,The Learning Network,Learning,By The Learning Network,Summer Reading Contest Week 6: What Got Your Attention in The Times This Week?,NA,News,,,
1934,"Because of the pandemic, it had been 500 days since my last visit, but I finally made it back. ",7/16/2021,U.S.,U.S.,By Carol Rosenberg,What It Was Like to Return to Guantánamo,NA,Interactive Feature,,,
1935,"KABUL, Afghanistan — The Pulitzer Prize-winning photojournalist Danish Siddiqui was killed while covering a clash between Afghan security forces and the Taliban on Friday, as fighting between the insurgents and government troops intensifies across the country.",7/16/2021,World,Foreign,By Christina Goldbaum and Fahim Abed,"Danish Siddiqui, Reuters Photojournalist, Is Killed in Afghanistan",Pulitzer Prize-winning Photojournalist  From Reuters Is Killed in Afghanistan,News,,,
1936,"Three houses and part of a 19th-century castle collapsed in surging waters on Friday in the German town of Erftstadt-Blessem, southwest of Cologne, where the swollen Erft River inundated the city, setting off a landslide.",7/16/2021,World,Foreign,By Melissa Eddy,The flooding swept away homes and part of a castle in western Germany.,NA,News,,,
1937,"ISLAMABAD, Pakistan — The explosion that killed nine Chinese workers and four others near a hydroelectric project in Pakistan on Wednesday was a terrorist attack, not an accident as officials in Pakistan initially suggested, according to a statement by the Chinese government and a top Pakistan official close to the investigation.",7/16/2021,World,Foreign,By Salman Masood and Steven Lee Myers,"Blast That Killed Chinese Workers in Pakistan Was a Terrorist Attack, Officials Say",Pakistan Blast That Killed 13 Was a Terrorist Attack,News,,,
1938,"MAZAR-I-SHARIF, Afghanistan—Omid Wahidi was born after the United States invaded Afghanistan in 2001. His childhood, for the most part, was peaceful. His family farmed eggplant, tomato and okra in the country’s north. He remembers foreign troops throwing books to him as he walked out of school.",7/17/2021,World,Foreign,NA,"Back to Militias, the Chaotic Afghan Way of War","A Country Returns to Militias, and an Old, Chaotic Path",News,,,
1939,"The suffering that ravaged India and Brazil has reached Southeast Asia. Indonesia, the fourth most populous nation, now has the world’s highest count of new infections, with 57,000 new cases reported on Friday.",7/18/2021,Briefing,NYTNow,By Amelia Nierenberg,Your Monday Briefing,NA,briefing,,,
1940,"WASHINGTON — Military prosecutors have asked to wipe from the record information gleaned from the torture of a detainee now held at Guantánamo Bay, reversing their earlier position that the information could be used in pretrial proceedings against the man.",7/18/2021,U.S.,Washington,By Carol Rosenberg,Guantánamo Prosecutors Ask to Strike Information Gained From Torture,"In Reversal, Military Lawyers Ask to Strike Out Material Obtained From Torture",News,,,
1941,"WASHINGTON — Ron Klain, who after a few near misses finally achieved his career-long goal of becoming the White House chief of staff, will turn 60 this summer. This is, as his boss might say, a big deal.",7/18/2021,U.S.,Washington,By Mark Leibovich,The Ascension of Ron Klain,"After Decades, It’s Klain’s Turn As Chief of Staff",News,,,
1942,"ABOARD A TURKISH COAST GUARD VESSEL — Wet and shaken, women and children were pulled aboard the Turkish patrol boat first, then the men and more children.",7/18/2021,World,Foreign,By Carlotta Gall,‘They Just Left Us’: Greece Is Accused of Setting Migrants Adrift at Sea,Turkey Fumes While Accusing Greece of Setting Migrants Adrift at Sea,News,,,
1943,"WASHINGTON — The Biden administration plans to evacuate an initial group of Afghans who helped the United States during the 20-year war and who now face reprisals from the Taliban to an Army base in Virginia in the coming days, the State and Defense Departments said on Monday.",7/19/2021,U.S.,Washington,By Eric Schmitt,The Biden administration is sending Afghan visa applicants to an Army base in Virginia.,Some Afghan Applicants For Visas to Be Brought To Virginia Army Base,News,,,
1944,"The Biden administration said it would evacuate almost 2,500 Afghans who helped the U.S. government during the 20-year war and who now face reprisals from the Taliban to an Army base in Virginia, pending approval of their visas.",7/19/2021,U.S.,,By The Associated Press,U.S. to Send Afghan Visa Applicants to Virginia Military Base,NA,Video,,,
1945,"WASHINGTON — The Biden administration on Monday transferred its first detainee out of Guantánamo Bay, repatriating a Moroccan man who had been recommended for discharge from the wartime prison starting in 2016 but nevertheless remained there during the Trump years.",7/19/2021,U.S.,Washington,By Carol Rosenberg and Charlie Savage,Biden Administration Transfers Its First Detainee From Guantánamo Bay,Biden Administration Sends Guantánamo Detainee to Morocco,News,,,
1946,WHAT STRANGE PARADISEBy Omar El Akkad,7/20/2021,Books,BookReview,By Wendell Steavenson,‘What Strange Paradise’ Explores Two Sides of a Migrant Crisis,By Land and by Sea,Review,,,
1947,This article is part of the Debatable newsletter. You can sign up here to receive it on Tuesdays and Thursdays.,7/20/2021,Opinion,OpEd,By Spencer Bokat-Lindell,Is the United States Done Being the World’s Cop?,NA,Op-Ed,,,
1948,"Thomas Bach was crying. He tried to speak, but his voice quavered.",7/20/2021,Sports,Sports,By Andrew Keh,Power Game: Thomas Bach’s Iron Grip on the Olympics,How Thomas Bach Keeps An Iron Grip on the Olympics,News,,,
1949,"A bipartisan group of senators unveiled legislation on Tuesday that would significantly curtail presidential war-making powers, a long-shot effort that nonetheless reflected a growing interest among lawmakers to reassert congressional prerogatives on matters of war and peace.",7/20/2021,U.S.,Washington,By Catie Edmondson,3 senators introduce a bipartisan bill to reassert Congress’s war-making powers.,NA,News,,,
1950,"At least 25 people died in and around Zhengzhou, a city of five million and the capital of Henan Province, when the heaviest rainfall on record caused severe flooding. Twelve of the victims were stuck on a subway train when waters rose.",7/21/2021,Briefing,NYTNow,By Amelia Nierenberg,Your Thursday Briefing,NA,briefing,,,
1951,"General Mark A. Milley, chairman of the Joint Chiefs of Staff, said Afghan military forces had prioritized the protection of important cities, including Kabul, but that a “complete Taliban takeover” was possible.",7/21/2021,U.S.,,By Reuters,"Taliban Have ‘Strategic Momentum’ in Afghanistan, U.S. General Says",NA,Video,,,
1952,"The nation’s top military officer offered a glum assessment on Wednesday of the security situation in Afghanistan, saying the Taliban had seized “strategic momentum” over Afghan military forces who were falling back to prioritize the protection of important cities, including Kabul, the capital.",7/21/2021,U.S.,Washington,By Eric Schmitt,U.S. military official says a ‘complete Taliban takeover’ is possible in Afghanistan.,NA,News,,,
1953,"An additional 4,000 Afghans who worked with American forces, many of them interpreters, had been approved to relocate to the United States with their families in light of the withdrawal of U.S. troops, State Department officials said on Wednesday.",7/21/2021,U.S.,Washington,By Jennifer Steinhauer,U.S. scrambles to move translators from Afghanistan while leaving many in limbo.,NA,News,,,
1954,"BERLIN — Germans will vote on a new government on Sunday and for the first time since 2005, Angela Merkel is not running. After nearly 16 years in power, Ms. Merkel, 67, will leave control of Europe’s largest economy to a new chancellor.",7/21/2021,World,Foreign,By Melissa Eddy,What You Need to Know About Germany’s National Election,NA,News,,,
1955,"To the outside observer, Jack Antonoff might seem like something of a workaholic.",7/22/2021,Arts,Arts&Leisure,By Olivia Horn,Jack Antonoff Doesn’t Want to Just Take Up Space,"For Jack Antonoff, Songs Can Be Magic. Silence, Too.",News,,,
1956,(Want to get this newsletter in your inbox? Here’s the sign-up.) ,7/22/2021,Briefing,NYTNow,By Remy Tumin and Lauren McCarthy,"Vaccinations, Bootleg Fire, Tokyo Games: Your Thursday Evening Briefing",NA,briefing,,,
1957,"In 1964, the last time Japan hosted the Games, the country was riding high on postwar optimism and economic development. This year, the Games are essentially closed to the public, and many Tokyo residents are fleeing a scorching-hot city that has spent weeks under a state of emergency.",7/22/2021,Briefing,NYTNow,By Amelia Nierenberg,Your Friday Briefing,NA,briefing,,,
1958,"EDGEWATER, Md. — In a grainy video chat, Zak shared the latest from his embattled province in Afghanistan, an update as grim as it was commonplace. “The Taliban left a note at my house last night. They said, ‘Surrender tonight or we will kill you,’” he recounted in a tone more resigned than terrified.",7/22/2021,U.S.,Washington,By Jennifer Steinhauer and John Ismay,‘I’ll Never Forget You’: Veterans Push to Get Afghan Partners in War to the U.S.,Veterans Feel Urgency to Aid Afghan Allies,News,,,
1959,"The House voted overwhelmingly on Thursday to expand a visa program for Afghans who are facing retribution for helping American troops and diplomats during the 20-year war in Afghanistan, moving to allow more of them to immigrate to the United States quickly as the Biden administration races to evacuate them.",7/22/2021,U.S.,Washington,By Luke Broadwater,The House votes to increase the number of visas for Afghans who have helped U.S. troops.,NA,News,,,
1960,"The C.I.A. is stepping up efforts to confront the cause and effects of mysterious sonic incidents, believed to be attacks, that have injured U.S. officials, by increasing medical staff and assigning an agency veteran who hunted Osama bin Laden, the agency’s director, William J. Burns, said in an interview on Thursday.",7/22/2021,U.S.,Washington,By Glenn Thrush,"William J. Burns, the C.I.A. director, outlines plans to confront the ‘Havana Syndrome.’",NA,News,,,
1961,"OTTAWA — Frustrated by the lack of action by Canada to resettle Afghans who worked for the Canadian government in Afghanistan, some Canadian military veterans are using their own money, time and connections to get them into safer parts of Afghanistan.",7/22/2021,World,Foreign,By Ian Austen,Canadian Veterans Fill Void to Help Afghans Who Once Worked With Them,Canada’s Veterans Assist  Vulnerable Interpreters,News,,,
1962,"Italy will require people to show proof of Covid-19 vaccination or a recent negative test to dine indoors, visit museums and attend shows, among other social activities, following steps taken by France and Israel.",7/23/2021,Briefing,NYTNow,By Natasha Frost,Your Friday Briefing,NA,briefing,,,
1963,Vaccine mandates are controversial. They’re also effective.,7/23/2021,Briefing,NYTNow,By David Leonhardt and Ian Prasad Philbrick,Boosting Vaccinations,"Over the Noise, One Fact Rings True: Vaccine Mandates Have Saved Lives",briefing,,,
1964,"KABUL, Afghanistan — U.S. military aircraft struck a number of Taliban positions this week in support of faltering Afghan government forces, in one of the first significant American reactions to the insurgents’ blistering advance across Afghanistan as U.S. troops withdraw.",7/23/2021,World,Foreign,By Adam Nossiter and Eric Schmitt,U.S. Strikes Taliban Targets in a Show of Force in Afghanistan,"Alarmed by Taliban’s Surge, U.S. Launches 11th-Hour Airstrikes",News,,,
1965,"Shortly after the rate of vaccinated people in Canada surpassed the rate in the United States, it was announced that the Canadian border would open next month for all fully vaccinated Americans, not just those with an essential reason to travel.",7/23/2021,World,Foreign,By Ian Austen,"A Border Reopening, at Least One Way, and Some Travel Tips","Canada Opens to Vaccinated, But It’s a Trickle at the Border",News,,,
1966,"BAGHDAD — Iraq’s prime minister is heading to Washington this weekend to demand that President Biden withdraw all U.S. combat troops from Iraq, announcing to Iraqi media that the visit would “put an end to the presence of combat forces.”",7/24/2021,World,Foreign,By Jane Arraf and Eric Schmitt,"U.S. to Announce Troop Drawdown From Iraq, but Little Is Expected to Change","U.S. Is Set to Announce Troop Drawdown From Iraq, at Least on Paper",News,,,
1967,"The Games opened on Friday to a sea of empty seats, and a somber opening ceremony that tried to project a world moving on from the worst of Covid-19. Naomi Osaka, Japan’s most famous athlete, lit the Olympic caldron.",7/25/2021,Briefing,NYTNow,By Amelia Nierenberg,Your Monday Briefing,NA,briefing,,,
1968,"TOKYO — In the sand-swept alleys of Niamey, the capital of one of the world’s poorest nations, Niger, they spin kick. In the Azraq refugee camp in Jordan, crowded with Syrians who fled civil war, they scissor kick. And in the slums of Thailand, where martial arts offer a tantalizing path out of poverty, they deliver the chopping ax kick that helps make taekwondo the most explosive of the combat sports.",7/25/2021,Sports,Foreign,By Hannah Beech,Taekwondo Is Path to Medals for Countries That Rarely Get Them,A Wealth of Opportunities in a Smaller Sport,News,,,
1969,"SHREVEPORT, La. — Dr. Martha Whyte, the top public health official in the northwest corner of Louisiana, was sitting at the back of a City Council meeting here on a muggy day recently when she was called to the front of the room to respond to an attack on the coronavirus vaccine.",7/25/2021,U.S.,Washington,By Noah Weiland,"In Louisiana, Vaccine Misinformation Has Public Health Workers Feeling ‘Stuck’",Official Fights To Vaccinate In Louisiana,News,,,
1970,"KABUL, Afghanistan — The top American general overseeing operations in Afghanistan declined to say Sunday night whether U.S. airstrikes against the Taliban would end Aug. 31, the date previously given by officials as a cutoff for such attacks.",7/25/2021,World,Foreign,By Adam Nossiter,U.S. General Won’t Commit to Ending Airstrikes on Taliban,Top U.S. General Hints Airstrikes on Taliban May Continue Past an August Cutoff,News,,,
1971,"The Tokyo Games opened on Friday to a sea of empty seats and a somber opening ceremony that tried to project a world moving on from the worst of Covid-19. Naomi Osaka, Japan’s most famous athlete, lit the Olympic cauldron.",7/26/2021,Briefing,NYTNow,By Natasha Frost,Your Monday Briefing,NA,briefing,,,
1972,"President Kais Saied late on Sunday said he was firing the prime minister, suspending Parliament and taking control of the country after large anti-government protests over deepening health and economic crises.",7/26/2021,Briefing,NYTNow,By Melina Delkic,Your Tuesday Briefing,NA,briefing,,,
1973,(Want to get this newsletter in your inbox? Here’s the sign-up.),7/26/2021,Briefing,NYTNow,By Victoria Shannon,"Vaccines, Olympics, Tunisia: Your Monday Evening Briefing",NA,briefing,,,
1974,"The Biden administration says it wants to end the pandemic in 2022. If it’s serious about that goal, President Biden should relieve George W. Bush of his paintbrush and easel and draft him as America’s vaccine envoy.",7/26/2021,Opinion,OpEd,By James Harding,The World Needs a Heavy Hitter on the Pandemic. Bush Has Done It Before.,The World Needs a Heavy Hitter on the Pandemic: George W. Bush,Op-Ed,,,
1975,"WASHINGTON — When it comes to winding down America’s wars, the contrast between President Biden’s handling of Iraq and Afghanistan is growing sharper.",7/26/2021,U.S.,Washington,By Annie Karni and Eric Schmitt,Biden Takes Two Paths to Wind Down Iraq and Afghan Wars,"In Winding Down Wars, Biden Takes Two Paths for Iraq and Afghanistan",News,,,
1976,"KABUL, Afghanistan — Civilian casualties and rights violations are rising sharply in Afghanistan, human rights groups say, with the Taliban carrying out the bulk of the offenses as they wage a campaign against the government amid the void left by departing American forces.",7/26/2021,World,Foreign,By Adam Nossiter and Taimoor Shah,"Afghan Civilian Casualties Soar as U.S. Exits, Monitors Say","Afghan Civilian Deaths Soar, Monitors Say",News,,,
1977,"Kais Saied, the president of Tunisia, has tried to seize power from the rest of the government in what his political opponents denounced as a coup. He announced on Sunday that he was firing the prime minister, suspending Parliament and taking control amid large anti-government protests over deepening health and economic crises.",7/27/2021,Briefing,NYTNow,By Natasha Frost,Your Tuesday Briefing,NA,briefing,,,
